Country name,Regional indicator,Ladder score,lLadder score),upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster,Region_Central and Eastern Europe,Region_Commonwealth of Independent States,Region_East Asia,Region_Latin America and Caribbean,Region_Middle East and North Africa,Region_North America and ANZ,Region_South Asia,Region_Southeast Asia,Region_Sub-Saharan Africa,Region_Western Europe
Nicaragua,Latin America and Caribbean,6.284,0.798236176,6.433,6.135,1.097,1.263,0.101403351,0.542,-0.266000713,0.793,0.25358029,0.133,0.05422991,0.251,0.09725731,2.203,0,0,0,0,1,0,0,0,0,0,0
Brazil,Latin America and Caribbean,6.272,0.79740605,6.39,6.154,1.43,1.269,0.103461622,0.548,-0.261219442,0.685,0.226599905,0.13,0.053078443,0.142,0.057666104,2.068,0,0,0,0,1,0,0,0,0,0,0
Slovakia,Central and Eastern Europe,6.257,0.796366155,6.332,6.182,1.706,1.54,0.187520721,0.638,-0.195179321,0.566,0.194791758,0.096,0.039810554,0.058,0.024485668,1.653,0,1,0,0,0,0,0,0,0,0,0
Latvia,Central and Eastern Europe,6.234,0.794766798,6.314,6.155,1.7,1.508,0.178401342,0.564,-0.248720896,0.666,0.221674997,0.127,0.051923916,0.078,0.032618761,1.59,0,1,0,0,0,0,0,0,0,0,0
Uzbekistan,Commonwealth of Independent States,6.195,0.792041311,6.303,6.087,1.212,1.394,0.144262774,0.539,-0.268411235,0.835,0.263636069,0.251,0.09725731,0.215,0.084576278,1.749,0,0,1,0,0,0,0,0,0,0,0
Argentina,Latin America and Caribbean,6.188,0.791550305,6.306,6.07,1.562,1.381,0.140193679,0.585,-0.232844134,0.681,0.225567713,0.087,0.036229544,0.08,0.033423755,1.812,0,0,0,0,1,0,0,0,0,0,0
Kazakhstan,Commonwealth of Independent States,6.188,0.791550305,6.278,6.097,1.622,1.457,0.163459552,0.556,-0.254925208,0.733,0.238798563,0.149,0.060320029,0.12,0.049218023,1.551,0,0,1,0,0,0,0,0,0,0,0
Cyprus,Western Europe,6.068,0.783045572,6.182,5.954,1.794,1.217,0.085290578,0.744,-0.128427064,0.529,0.184407485,0.124,0.050766311,0.049,0.020775488,1.611,0,0,0,0,0,0,0,0,0,0,1
Japan,East Asia,6.06,0.782472624,6.144,5.976,1.786,1.354,0.131618664,0.785,-0.105130343,0.632,0.212720154,0.023,0.009875634,0.219,0.086003706,1.261,0,0,0,1,0,0,0,0,0,0,0
South Korea,East Asia,6.058,0.782329269,6.148,5.968,1.815,1.178,0.07114529,0.77,-0.113509275,0.555,0.191730393,0.126,0.051538391,0.158,0.063708559,1.456,0,0,0,1,0,0,0,0,0,0,0
Philippines,Southeast Asia,6.048,0.781611782,6.166,5.929,1.232,1.146,0.059184618,0.441,-0.355561411,0.826,0.261500773,0.099,0.040997692,0.136,0.055378331,2.167,0,0,0,0,0,0,0,0,1,0,0
Vietnam,Southeast Asia,6.043,0.781252594,6.138,5.948,1.331,1.267,0.102776615,0.539,-0.268411235,0.843,0.265525335,0.094,0.039017322,0.16,0.064457989,1.81,0,0,0,0,0,0,0,0,1,0,0
Portugal,Western Europe,6.03,0.780317312,6.134,5.925,1.728,1.368,0.136086097,0.699,-0.155522824,0.757,0.244771761,0.047,0.019946682,0.035,0.01494035,1.397,0,0,0,0,0,0,0,0,0,0,1
Hungary,Central and Eastern Europe,6.017,0.779380011,6.124,5.91,1.722,1.528,0.184123354,0.596,-0.22475374,0.581,0.19893187,0.123,0.050379756,0.067,0.028164419,1.4,0,1,0,0,0,0,0,0,0,0,0
Paraguay,Latin America and Caribbean,5.977,0.776483256,6.085,5.868,1.398,1.408,0.148602655,0.549,-0.260427656,0.788,0.252367514,0.131,0.053462605,0.065,0.027349608,1.637,0,0,0,0,1,0,0,0,0,0,0
Thailand,Southeast Asia,5.976,0.776410589,6.094,5.858,1.484,1.347,0.129367596,0.62,-0.207608311,0.756,0.244524512,0.283,0.108226656,0.024,0.010299957,1.463,0,0,0,0,0,0,0,0,1,0,0
Malaysia,Southeast Asia,5.975,0.77633791,6.078,5.872,1.646,1.143,0.05804623,0.54,-0.26760624,0.829,0.262213705,0.226,0.08849047,0.119,0.048830087,1.473,0,0,0,0,0,0,0,0,1,0,0
China,East Asia,5.973,0.776192515,6.061,5.885,1.497,1.239,0.093071306,0.629,-0.201349355,0.704,0.23146959,0.132,0.053846427,0.164,0.06595298,1.608,0,0,0,1,0,0,0,0,0,0,0
